producto_id,name,categoria_id,subcategoria_id,age_group,genero,tipo_tela,color,estilo,fit,uso,descripcion,tags,marca_id,price,proveedor_id
1,Leggings de compresión Under Armour para niñas activas,2,18,niño,mujer,poliester,beige,activewear,compression,gym,"Estos leggings de compresión Under Armour están diseñados para niñas que aman el deporte y la actividad física. Confeccionados con un material de poliéster suave y transpirable, ofrecen una comodidad y flexibilidad excepcionales. Además, su diseño innovador incluye una banda elástica en la cintura para un ajuste perfecto y una libertad de movimiento total. Son ideales para practicar yoga, correr o simplemente para un día de entrenamiento en el gimnasio.","['ropa deportiva', 'mujer', 'niña', 'activewear', 'compresión', 'poliester', 'beige', 'under armour', 'gym', ' Running', 'Yoga', 'Fitness', 'Ropa de entrenamiento']",34,41.0,6
2,Falda Boho Chic en Tono Café,2,19,adulto joven,mujer,algodon,cafe,casual,slim,daily,"Esta hermosa falda bohemia en tono café es perfecta para cualquier ocasión diaria. Confeccionada en algodón suave y con un corte slim fit, esta falda es ideal para mujeres jóvenes que buscan un estilo casual y elegante. La falda cuenta con un estampado de flores sutiles en tonos marrones y beige, lo que le da un toque de distinción y sofisticación. Además, su estilo bohemio y su versatilidad la hacen perfecta para combinar con diferentes looks y accesorios, desde un par de botas de cuero hasta un par de sandalias planas.","['Moda urbana', 'Falda casual', 'Algodón suave', 'Slim fit', 'Mujer joven', 'Vestir diario', 'Estilo bohemio', 'Invierno suave', 'Otoño cálido', 'Verano fresco', 'Looks de moda', 'Tendencias actuales', 'Ropa cómoda']",4,152.0,5
3,Pantalones Cargo Beige para Niños,2,16,niño,unisex,poliester,beige,utility,regular,casual,"Estos pantalones cargo beige para niños son ideales para un día de aventuras al aire libre. Confeccionados con poliéster transpirable y un corte regular, ofrecen comodidad y libertad de movimiento. Además, cuentan con bolsillos laterales para guardar pequeños tesoros y un cierre de cremallera seguro. Perfectos para la escuela o para jugar con amigos, estos pantalones son una excelente opción para cualquier ocasión casual.","['pantalones de niño', 'ropa casual', 'estilo urbano', 'beige', 'poliéster', 'unisex', 'regular fit', 'bolsillos laterales', 'cierre de cremallera', 'tejido transpirable', 'para jugar', 'para la escuela', 'moda infantil']",1,48.0,10
4,Pantalones cargo de mujer Carhartt blancos,2,16,adulto mayor,mujer,poliester,blanco,streetwear,regular,casual,"Estos pantalones cargo de mujer Carhartt son ideales para un día casual en la ciudad. Confeccionados en poliester suave y resistente, tienen un estilo streetwear que les da un toque moderno y urbano. Además, cuentan con bolsillos laterales y traseros para llevar todos tus objetos personales, y tienen un cinturón ajustable para un ajuste perfecto. Son perfectos para caminar, hacer deporte o simplemente disfrutar de un día relajado en el parque.","['pantalones cargo', 'moda urbana', 'streetwear', 'mujer', 'adulto mayor', 'poliester', 'blanco', 'fit regular', 'uso casual', 'ropa comoda', 'pantalones para caminar', 'estilo relajado']",9,55.0,1
5,Camiseta Amarilla Minimalista con Detalle de Cuello,1,9,adulto joven,mujer,algodon,amarillo,minimalist,regular,casual,"La camiseta amarilla minimalista con cuello Henley es una prenda básica para cualquier época del año. Hecha de algodón suave, esta camiseta cuenta con un diseño simple y elegante, perfecto para un look casual y fresco. Además, su cuello Henley le da un toque de estilo y sofisticación, haciéndola ideal para usar en el día a día o para salir con amigos. Puedes combinarla con jeans, shorts o una falda para crear un look único y personalizado.","['Camisetas de mujer', 'Ropa casual', 'Estilo minimalista', 'Amarillo brillante', 'Algodón suave', 'Cuello Henley', 'Prenda básica', 'Verano', 'Otoño', 'Invierno', 'Primavera', 'Ropa para adultos jóvenes', 'Moda urbana']",19,20.0,3
6,Soutien deportivo Rosado Intenso,1,12,adulto joven,mujer,spandex,rosado,activewear,slim,training,"Este soutien deportivo rosado intenso de Adidas es perfecto para mujeres que buscan comodidad y estilo durante sus sesiones de entrenamiento. Confeccionado con spandex, ofrece un ajuste slim y flexible que se adapta a tus movimientos. Además, su diseño innovador incluye un refuerzo en la parte inferior para un mayor soporte y estabilidad, lo que te permite realizar tus ejercicios con confianza y seguridad. También cuenta con un pequeño bolsillo en la parte posterior para guardar tus objetos personales mientras te entrenas.","['Ropa deportiva', 'Soutien deportivo', 'Mujer', 'Activewear', 'Entrenamiento', 'Spandex', 'Rosado', 'Slim fit', 'Adidas', 'Deporte', 'Fitness', 'Moda deportiva', 'Ropa de entrenamiento']",2,41.0,2
7,Camisa de Gala Celeste Slim Fit para Niños,1,6,niño,hombre,poliester,celeste,luxury,slim,formal events,"Esta camisa de gala celeste slim fit para niños es perfecta para cualquier evento formal. Confeccionada con poliéster de alta calidad y un estilo de lujo, esta camisa cuenta con un diseño exclusivo que incluye un estampado sutil de rayas finas en tonos claros. La marca Armani garantiza la mejor calidad y comodidad para que tu pequeño se sienta como un verdadero gentleman en cualquier ocasión especial.","['Ropa de Gala', 'Camisas de Niño', 'Poliéster de Alta Calidad', 'Estilo de Lujo', 'Slim Fit', 'Celeste Intenso', 'Armani Junior', 'Ropa Formal para Niños', 'Eventos Especiales', 'Moda Infantil Luxe', 'Camisas con Estampados', 'Tuxedo para Niños', 'Ropa de Diseño']",5,1089.0,7
8,Turtleneck Elegante Verde Esmeralda para Niñas,1,5,niño,mujer,rayon,verde,elegant,slim,formal events,"Esta hermosa turtleneck de color verde esmeralda es perfecta para las niñas que aman la moda y el estilo. Confeccionada en rayon suave y ligero, esta prenda es ideal para eventos formales como fiestas de cumpleaños o bodas. La silueta slim fit y el cuello alto le dan un toque elegante y sofisticado, mientras que el estampado de flores diminutas en tonos pastel añade un toque de dulzura y feminidad. Es una prenda versátil que se puede combinar con una falda o pantalones para crear un look completo y elegante.","['moda infantil', 'verde esmeralda', 'turtleneck', 'mujer', 'elegante', 'vestido formal', 'rayon', 'ropa de niña', 'estilo urbano', 'fiesta de cumpleaños', 'eventos especiales', 'ropa slim fit', 'Zara kids']",37,69.0,10
9,Sweater Amarillo Niño Carhartt,1,7,niño,unisex,algodon,amarillo,casual,regular,casual,"Este sweater amarillo para niños de la marca Carhartt es ideal para el invierno y el otoño. Con su tejido de algodón suave y su estilo casual, es perfecto para un día en el parque o en la escuela. Además, cuenta con un diseño minimalista y un corte regular que garantiza la comodidad y la libertad de movimiento. La prenda también tiene un pequeño logotipo de la marca en el pecho y una pequeña cremallera en la parte superior para facilitar su uso.","['sweater amarillo', 'ropa para niños', 'estilo casual', 'tejido de algodón', 'unisex', 'prenda cálida', 'invierno', 'otoño', 'diseño minimalista', 'corte regular', 'comodidad garantizada', 'marca Carhartt', 'sweaters para niños']",9,84.0,6
10,Falda azul casual de algodón slim fit,2,19,adulto joven,mujer,algodon,azul,casual,slim,daily,"La falda azul casual de algodón es perfecta para un día de verano en la ciudad. Con un estilo slim fit y un color azul marino intenso, esta falda es ideal para combinar con una camiseta blanca y un par de sandalias para un look relajado y elegante. La falda cuenta con un estampado de flores pequeñas en tonos claros que le da un toque femenino y delicado. Además, el algodón es suave y fresco, lo que la hace perfecta para usar en cualquier momento del día.","['falda azul', 'moda casual', 'algodón', 'mujer', 'joven', 'diario', 'slim fit', 'estilo urbano', 'ropa para mujer', 'azul marino', 'falda para verano', 'conjunto casual', 'moda española']",26,78.0,10
